16:14:19 [http-nio-8081-exec-2] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver -Resolved [org.springframework.web.context.request.async.AsyncRequestNotUsableException: ServletOutputStream failed to flush: java.nio.channels.ClosedChannelException]
16:14:28 [main] INFO  c.p.Journal.JournalApplication -Starting JournalApplication using Java 17.0.2 with PID 7668 (C:\Users\Aditya\Downloads\Journal\Journal\target\classes started by Aditya in C:\Users\Aditya\Downloads\Journal\Journal)
16:14:28 [main] INFO  c.p.Journal.JournalApplication -The following 1 profile is active: "dev"
16:14:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
16:14:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 68 ms. Found 2 MongoDB repository interfaces.
16:14:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port 8081 (http)
16:14:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8081"]
16:14:29 [main] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
16:14:29 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/10.1.42]
16:14:30 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
16:14:30 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 1931 ms
16:14:30 [cluster-ClusterId{value='687b770e2988ba602d8f577a', description='Cluster0'}-srv-cluster0.gn2xrw1.mongodb.net] INFO  org.mongodb.driver.cluster -Adding discovered server ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017 to client view of cluster
